,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-06-07,1.0,0.0,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,0.0,0.0,0.0,0.0,,,,2023,6,,
2023-06-08,0.9779797881263543,-0.022020211873645668,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.022020211873645668,-0.022020211873645668,0.0,0.0,,,,2023,6,,
2023-06-09,0.9583400449741853,-0.020081951989821212,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.041659955025814654,-0.041659955025814654,0.0,0.0,,,,2023,6,,
2023-06-12,0.9530964988666918,-0.00547148805373654,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.04690350113330821,-0.04690350113330821,0.0,0.0,,,,2023,6,,
2023-06-13,0.9531674526949544,7.44455869337024e-05,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.0468325473050456,-0.0468325473050456,0.0,0.0,,,,2023,6,,
2023-06-14,0.9593863228392523,0.006524425615577645,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.04061367716074771,-0.04061367716074771,0.0,0.0,,,,2023,6,,
2023-06-15,0.9976083230126656,0.03984005114883993,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.0023916769873344457,-0.0023916769873344457,0.0,0.0,,,,2023,6,,
2023-06-16,0.9898674513753529,-0.007759429686729269,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.010132548624647075,-0.010132548624647075,0.0,0.0,,,,2023,6,,
2023-06-20,0.972722834062753,-0.01732011421203794,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.02727716593724705,-0.02727716593724705,0.0,0.0,,,,2023,6,,
2023-06-21,0.9696618153889544,-0.003146855986729258,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,0.4,-0.4,-0.03033818461104565,-0.03033818461104565,0.0,0.0,,,,2023,6,,
