,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-06-07,1.0,0.0,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999887,0.4,-0.4,0.4,0.3999981,0.0,0.0,0.0,0.0,,,,2023,6,,
2023-06-08,0.9978429034566536,-0.002157096543346393,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999902,0.4,-0.4,0.4,0.39999828,-0.002157096543346393,-0.002157096543346393,3.2782555e-07,9.834766e-10,,,,2023,6,,
2023-06-09,0.9813959371347005,-0.016482520710403126,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999905,0.4,-0.4,0.4,0.39999822,-0.018604062865299476,-0.018604062865299476,8.940697e-08,2.682209e-10,,,,2023,6,,
2023-06-12,0.9820770255426634,0.0006939996205317378,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.3999991,0.4,-0.4,0.4,0.39999834,-0.017922974457336593,-0.017922974457336593,1.7881393e-07,5.364418e-10,,,,2023,6,,
2023-06-13,0.9828523689666347,0.000789493495729543,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999923,0.4,-0.4,0.4,0.3999984,-0.01714763103336525,-0.01714763103336525,1.7881393e-07,5.364418e-10,,,,2023,6,,
2023-06-14,0.984957224987407,0.002141579027769236,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.399999,0.4,-0.4,0.4,0.39999822,-0.01504277501259299,-0.01504277501259299,4.172325e-07,1.2516975e-09,,,,2023,6,,
2023-06-15,1.0361997140723673,0.05202509082119322,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999896,0.4,-0.4,0.4,0.39999816,0.03619971407236733,0.0,8.940697e-08,2.682209e-10,,,,2023,6,,
2023-06-16,1.0335769862510484,-0.002531102629831139,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.399999,0.4,-0.4,0.4,0.3999983,0.033576986251048435,-0.002531102629831187,1.7881393e-07,5.364418e-10,,,,2023,6,,
2023-06-20,1.018026503226359,-0.01504530695975892,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.3999991,0.4,-0.4,0.4,0.39999846,0.018026503226358903,-0.01753832837357763,2.682209e-07,8.046627e-10,,,,2023,6,,
2023-06-21,1.0271953255346498,0.009006467198283019,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999923,0.4,-0.4,0.4,0.39999864,0.02719532553464976,-0.008689819554504053,3.2782555e-07,9.834766e-10,,,,2023,6,,
