,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-04-18,1.0652837983909653,0.01172598180416995,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999875,0.06528379839096532,-0.00844789622990994,8.940697e-08,2.682209e-10,,,,2023,4,,
2023-04-19,1.0556966954100169,-0.008999576446604207,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999893,0.05569669541001687,-0.01737144518858014,2.0861626e-07,6.2584876e-10,,,,2023,4,,
2023-04-20,1.04408577905707,-0.010998344887721223,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999893,0.044085779057069896,-0.02817873293091924,2.9802322e-08,8.940697e-11,,,,2023,4,,
2023-04-21,1.0223681666836701,-0.020800601645023176,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999893,0.022368166683670143,-0.04839319997738483,0.0,0.0,,,,2023,4,,
2023-04-24,1.0361725686022554,0.013502378466422327,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999875,0.03617256860225537,-0.035544244812258444,1.7881393e-07,5.364418e-10,,,,2023,4,,
2023-04-25,1.0283930594427242,-0.007507928114739992,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999866,0.02839305944272419,-0.04278530929205524,1.1920929e-07,3.5762787e-10,,,,2023,4,,
2023-04-26,1.0182529637805469,-0.009860136228138416,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999858,0.01825296378054686,-0.05222357654201097,8.940697e-08,2.682209e-10,,,,2023,4,,
2023-04-27,1.0742507816307043,0.05499401410259597,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999852,0.07425078163070431,-0.00010154654425443719,5.9604645e-08,1.7881394e-10,,,,2023,4,,
2023-04-28,1.128168022348846,0.050190552932431354,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999984,0.12816802234884594,0.0,1.4901161e-07,4.4703485e-10,,,,2023,4,,
2023-05-01,1.1219245565377276,-0.005534163074503273,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999852,0.1219245565377276,-0.005534163074503252,1.1920929e-07,3.5762787e-10,,,,2023,5,,
