Period,Days,Return (%),Ann. Return (%),Volatility (%),Sharpe,Max DD (%),Win Rate (%),Benchmark (%),Excess Return (%),Alpha (%),Beta
1W,6,-6.02%,-1300.97%,43.83%,-1.95,-6.18%,50.00%,-1.56%,-4.46%,-3.55%,1.58
2W,11,-1.79%,-353.75%,31.02%,-0.51,-6.18%,63.64%,-5.65%,3.86%,3.69%,0.97
1M,22,6.05%,1117.44%,27.79%,3.63,-6.18%,72.73%,-4.30%,10.34%,10.71%,1.08
6M,124,4.78%,835.16%,23.88%,0.51,-19.32%,51.61%,7.27%,-2.48%,-1.09%,0.81
1Y,251,42.34%,7337.09%,23.70%,1.18,-19.32%,54.98%,14.43%,27.91%,29.44%,0.89
2Y,439,99.70%,17260.40%,23.75%,1.27,-25.90%,55.35%,37.82%,61.88%,56.63%,1.14
All,439,99.70%,17260.40%,23.75%,1.27,-25.90%,55.35%,37.82%,61.88%,56.63%,1.14
